p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
24.0,24.0,FRSIGESIGE453,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.153008,48.897852
180.0,764.0,FRETIP30107A,E-Totem,E-TOTEM INFRADIV 2,4.638347,43.951411
150.0,600.0,FRIZFPFAST294,IZIVIA,IZIVIA FAST,6.323826,43.393235
18.0,36.0,FRS77E77457001,Bouygues E&S,Ecocharge77,2.717254,48.657776
150.0,622.0,FRATLPFR00333,Atlante France,Atlante,0.026415,43.221342
22.0,44.0,FRALLEGO900875,EV Cars,EV Cars,-0.7054136,49.2844056
300.0,2250.5,FRVIAP103105,ENGIE Vianeo,ENGIE Vianeo,5.633879,45.578152
180.0,720.0,FRIZFPFAST71,IZIVIA,IZIVIA FAST,3.007193,42.558687
25.0,72.0,FRVIAP142073,ENGIE Vianeo,ENGIE Vianeo,5.42214,43.251059
18.0,36.0,FRS77E77326001,Bouygues E&S,Ecocharge77,2.565315,48.580364
150.0,622.0,FRATLPZ367FRGARDEN000001,Atlante France,Atlante,-0.468972,44.867686
300.0,1944.0,FRELCPMONCA,Electra,Electra,3.839353,43.61086
300.0,2184.5,FRVIAP102105,ENGIE Vianeo,ENGIE Vianeo,3.927966,49.445716
320.0,960.0,FRIENP3JLCBEVFACLW,NW IECharge,NW IECharge,4.175608,45.914829
24.0,46.0,FRSE1PSE77SACA,STATIONS-E,STATIONS-E,3.258395,48.621053
24.0,24.0,FRGLYPLYON198,IZIVIA,IZIVIA FMET 1,4.846094,45.760931
24.0,46.0,FRSE1PSE77MXBB,STATIONS-E,STATIONS-E,2.876243,48.961735
50.0,100.0,FRALLEGO700012,EV Cars,EV Cars,2.7854664,48.8531862
300.0,600.0,FRALLEGO800902,Allego,Allego,5.03748,45.0059242
24.0,46.0,FRSE1PSE77MSRA,STATIONS-E,STATIONS-E,2.662357,48.614319
150.0,522.0,FRETIP59172A,E-Totem,E-TOTEM INFRADIV,3.383756,50.322463
150.0,300.0,FRIZFPFAST67,IZIVIA,IZIVIA FAST,5.896587,45.69396
24.0,24.0,FRSIGESIGE49,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.222437,48.826646
22.0,44.0,FRALLEGO900618,EV Cars,EV Cars,-0.2197859,44.9006336
180.0,742.0,FRETIP01283G,E-Totem,E-TOTEM INFRADIV 2,5.642293,46.253277
150.0,600.0,FRIZFEFAST593,IZIVIA,IZIVIA FAST,-2.15525,47.238072
22.0,44.0,FRALLEGO800502,Allego,Allego,3.2178139,50.177903
150.0,466.0,FRELCPREIHM,Electra,Electra,4.069317,49.236314
300.0,600.0,FRALLEGO800122,Allego,Allego,3.1426482,45.757447
22.0,90.29999995231628,FRETIP34332C,E-Totem,E-TOTEM INFRADIV 2,3.41974,43.31087
24.0,46.0,FRSE1PSE62MBBA,STATIONS-E,STATIONS-E,1.613982,50.455909
150.0,300.0,FRIZFEFAST653,IZIVIA,IZIVIA FAST,-0.053046,47.703246
300.0,600.0,FRALLEGO002103,Allego,Allego,1.277483,45.8366182
22.0,44.0,FRALLEGO900680,EV Cars,EV Cars,2.4564056,49.0216111
